district,population,placename,district_name,category,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
DTD,22000,Downtown Raleigh,Downtown,Aggravated Assault,72,118,125,105,144,172,101,124,147,186,152,1,149,372,124,-14.5,-13.4,1.4,20,781.8,459.1,563.6,668.2,677.3,563.6
DTD,22000,Downtown Raleigh,Downtown,Burglary,105,179,189,195,167,130,167,147,111,124,130,5,134,425,141.7,-14.6,3.1,20.7,-5,590.9,759.1,668.2,504.5,609.1,644.1
DTD,22000,Downtown Raleigh,Downtown,Motor Vehicle Theft,55,110,136,99,94,117,105,111,95,205,215,2,203,311,103.7,-18.8,73.5,113.7,96,531.8,477.3,504.5,431.8,922.7,471.4
DTD,22000,Downtown Raleigh,Downtown,Murder,3,1,2,4,0,3,4,2,2,8,5,1,6,8,2.7,-33.3,100,200,122,13.6,18.2,9.1,9.1,27.3,12.3
DTD,22000,Downtown Raleigh,Downtown,Other/Unknown,3309,5886,6163,6208,6566,6554,4523,5352,5072,5908,6287,213,6210,14947,4982.3,-22.6,-5.2,22.4,25,29790.9,20559.1,24327.3,23054.5,28227.3,22646.8
DTD,22000,Downtown Raleigh,Downtown,Robbery,62,93,87,93,89,89,90,73,67,89,66,4,70,230,76.7,-24.7,-21.3,4.5,-9,404.5,409.1,331.8,304.5,318.2,348.6
DTD,22000,Downtown Raleigh,Downtown,Sexual Assault,14,12,31,47,45,59,51,47,48,53,55,1,55,146,48.7,-18.6,-6.8,14.6,13,268.2,231.8,213.6,218.2,250,221.4
DTD,22000,Downtown Raleigh,Downtown,Theft,605,796,923,911,809,913,815,852,907,930,1025,34,1011,2574,858,-0.7,10.7,11.5,18,4150,3704.5,3872.7,4122.7,4595.5,3900
NED,51000,Northeast Raleigh,Northeast,Aggravated Assault,76,133,110,118,147,161,143,170,239,231,255,5,246,552,184,48.4,52.8,2.9,34,315.7,280.4,333.3,468.6,482.4,360.8
NED,51000,Northeast Raleigh,Northeast,Burglary,259,316,342,363,333,221,188,229,224,247,236,8,235,641,213.7,1.4,6.3,4.9,10,433.3,368.6,449,439.2,460.8,419
NED,51000,Northeast Raleigh,Northeast,Motor Vehicle Theft,73,107,148,207,179,154,195,205,301,366,502,15,493,701,233.7,95.5,220.1,63.8,111,302,382.4,402,590.2,966.7,458.2
NED,51000,Northeast Raleigh,Northeast,Murder,1,2,6,4,3,7,4,3,8,9,6,0,5,15,5,14.3,-28.6,-37.5,0,13.7,7.8,5.9,15.7,9.8,9.8
NED,51000,Northeast Raleigh,Northeast,Other/Unknown,3064,6061,5736,5518,5611,6048,6015,6455,7060,7402,7392,274,7313,19530,6510,16.7,20.9,3.6,12,11858.8,11794.1,12656.9,13843.1,14339.2,12764.7
NED,51000,Northeast Raleigh,Northeast,Robbery,91,129,117,96,106,101,73,107,105,96,113,4,115,285,95,4,13.9,9.5,21,198,143.1,209.8,205.9,225.5,186.3
