district,population,placename,district_name,type,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
DTD,22000,Downtown Raleigh,Downtown,Other/Unknown,3309,5886,6163,6208,6566,6554,4523,5352,5072,5900,491,5941,14947,4982.3,-22.6,-9.4,17.1,19,29790.9,20559.1,24327.3,23054.5,27004.5,22646.8
DTD,22000,Downtown Raleigh,Downtown,Property,765,1085,1248,1205,1070,1160,1087,1109,1114,1260,105,1284,3310,1103.3,-4,10.7,15.3,16,5272.7,4940.9,5040.9,5063.6,5836.4,5015
DTD,22000,Downtown Raleigh,Downtown,Violent,151,224,245,249,278,323,246,246,264,336,21,337,756,252,-18.3,4.3,27.7,34,1468.2,1118.2,1118.2,1200,1531.8,1145.5
NED,51000,Northeast Raleigh,Northeast,Other/Unknown,3064,6061,5736,5518,5611,6048,6015,6455,7059,7388,605,7278,19529,6509.7,16.7,20.3,3.1,12,11858.8,11794.1,12656.9,13841.2,14270.6,12764.1
NED,51000,Northeast Raleigh,Northeast,Property,1408,2348,2377,2568,2311,2278,1914,2104,2413,2477,235,2491,6431,2143.7,5.9,9.4,3.2,16,4466.7,3752.9,4125.5,4731.4,4884.3,4203.3
NED,51000,Northeast Raleigh,Northeast,Violent,182,288,273,287,341,365,305,380,428,407,36,408,1113,371,17.3,11.8,-4.7,10,715.7,598,745.1,839.2,800,727.5
NOD,113000,North Raleigh,North,Other/Unknown,4420,8005,7284,7399,7306,7592,6795,7508,6480,7213,613,7258,20783,6927.7,-14.6,-4.4,12,5,6718.6,6013.3,6644.2,5734.5,6423,6130.7
NOD,113000,North Raleigh,North,Property,1841,2540,2508,2627,2415,2453,2182,2169,1790,2131,146,2097,6141,2047,-27,-14.5,17.2,2,2170.8,1931,1919.5,1584.1,1855.8,1811.5
NOD,113000,North Raleigh,North,Violent,203,350,286,391,386,334,336,362,278,296,22,292,976,325.3,-16.8,-12.6,5,-10,295.6,297.3,320.4,246,258.4,287.9
NWD,97000,Northwest Raleigh,Northwest,Other/Unknown,2244,3929,3891,3794,3611,3920,3883,4792,4935,5218,409,5192,13610,4536.7,25.9,32.4,5.2,14,4041.2,4003.1,4940.2,5087.6,5352.6,4677
NWD,97000,Northwest Raleigh,Northwest,Property,977,1283,1488,1535,1481,1429,1467,1843,1982,2657,224,2638,5292,1764,38.7,84.6,33.1,50,1473.2,1512.4,1900,2043.3,2719.6,1818.6
NWD,97000,Northwest Raleigh,Northwest,Violent,61,103,119,143,115,117,147,164,183,215,15,209,494,164.7,56.4,78.6,14.2,27,120.6,151.5,169.1,188.7,215.5,169.8
SED,84000,Southeast Raleigh,Southeast,Other/Unknown,5341,9644,8108,8064,8398,8542,8267,8477,9307,9568,839,9593,26051,8683.7,9,12.3,3.1,10,10169,9841.7,10091.7,11079.8,11420.2,10337.7
SED,84000,Southeast Raleigh,Southeast,Property,1478,2184,2001,2141,1874,2021,1695,1745,2377,2438,202,2465,5817,1939,17.6,22,3.7,27,2406,2017.9,2077.4,2829.8,2934.5,2308.3
SED,84000,Southeast Raleigh,Southeast,Violent,297,591,529,558,533,558,578,651,657,574,46,567,1886,628.7,17.7,1.6,-13.7,-10,664.3,688.1,775,782.1,675,748.5
SWD,98000,Southwest Raleigh,Southwest,Other/Unknown,3037,5439,5024,5276,5936,5701,5030,5750,5962,5590,441,5444,16742,5580.7,4.6,-4.5,-8.7,-2,5817.3,5132.7,5867.3,6083.7,5555.1,5694.6
SWD,98000,Southwest Raleigh,Southwest,Property,1278,1814,1894,1868,1677,1545,1643,1657,1807,2135,203,2179,5107,1702.3,17,41,20.6,28,1576.5,1676.5,1690.8,1843.9,2223.5,1737
SWD,98000,Southwest Raleigh,Southwest,Violent,149,200,239,265,240,273,231,343,295,281,16,273,869,289.7,8.1,0,-7.5,-6,278.6,235.7,350,301,278.6,295.6
NA,NA,NA,UNK,Other/Unknown,99,22,15,46,27,23,17,21,27,37,17,54,65,21.7,17.4,134.8,100,149,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Property,7,0,0,16,8,6,7,4,2,3,0,3,13,4.3,-66.7,-50,50,-30,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Violent,0,0,0,1,0,0,0,0,1,0,0,0,1,0.3,NA,NA,-100,-100,NA,NA,NA,NA,NA,NA
