category,description,month,count,rollavg_3month
Aggravated Assault,Assault/Aggravated,2014-09-01,1,NA
Aggravated Assault,Assault/Aggravated,2014-10-01,43,NA
Aggravated Assault,Assault/Aggravated,2014-11-01,42,29
Aggravated Assault,Assault/Aggravated,2014-12-01,73,53
Aggravated Assault,Assault/Aggravated,2015-01-01,75,63
Aggravated Assault,Assault/Aggravated,2015-02-01,50,66
Aggravated Assault,Assault/Aggravated,2015-03-01,72,66
Aggravated Assault,Assault/Aggravated,2015-04-01,66,63
Aggravated Assault,Assault/Aggravated,2015-05-01,94,77
Aggravated Assault,Assault/Aggravated,2015-06-01,88,83
Aggravated Assault,Assault/Aggravated,2015-07-01,79,87
Aggravated Assault,Assault/Aggravated,2015-08-01,90,86
Aggravated Assault,Assault/Aggravated,2015-09-01,74,81
Aggravated Assault,Assault/Aggravated,2015-10-01,51,72
Aggravated Assault,Assault/Aggravated,2015-11-01,62,62
Aggravated Assault,Assault/Aggravated,2015-12-01,77,63
Aggravated Assault,Assault/Aggravated,2016-01-01,72,70
Aggravated Assault,Assault/Aggravated,2016-02-01,45,65
Aggravated Assault,Assault/Aggravated,2016-03-01,68,62
Aggravated Assault,Assault/Aggravated,2016-04-01,63,59
Aggravated Assault,Assault/Aggravated,2016-05-01,73,68
Aggravated Assault,Assault/Aggravated,2016-06-01,64,67
Aggravated Assault,Assault/Aggravated,2016-07-01,89,75
Aggravated Assault,Assault/Aggravated,2016-08-01,68,74
Aggravated Assault,Assault/Aggravated,2016-09-01,49,69
Aggravated Assault,Assault/Aggravated,2016-10-01,59,59
Aggravated Assault,Assault/Aggravated,2016-11-01,62,57
Aggravated Assault,Assault/Aggravated,2016-12-01,60,60
Aggravated Assault,Assault/Aggravated,2017-01-01,59,60
Aggravated Assault,Assault/Aggravated,2017-02-01,57,59
Aggravated Assault,Assault/Aggravated,2017-03-01,64,60
Aggravated Assault,Assault/Aggravated,2017-04-01,71,64
Aggravated Assault,Assault/Aggravated,2017-05-01,90,75
Aggravated Assault,Assault/Aggravated,2017-06-01,89,83
Aggravated Assault,Assault/Aggravated,2017-07-01,68,82
Aggravated Assault,Assault/Aggravated,2017-08-01,59,72
Aggravated Assault,Assault/Aggravated,2017-09-01,75,67
Aggravated Assault,Assault/Aggravated,2017-10-01,77,70
Aggravated Assault,Assault/Aggravated,2017-11-01,74,75
Aggravated Assault,Assault/Aggravated,2017-12-01,53,68
Aggravated Assault,Assault/Aggravated,2018-01-01,63,63
Aggravated Assault,Assault/Aggravated,2018-02-01,59,58
Aggravated Assault,Assault/Aggravated,2018-03-01,72,65
Aggravated Assault,Assault/Aggravated,2018-04-01,75,69
